Date,Open,High,Low,Close,Adj Close,Volume
2020-04-13,67.077499,68.425003,66.457497,68.312500,67.787041,131022800
2020-04-14,70.000000,72.062500,69.512497,71.762497,71.210495,194994800
2020-04-15,70.599998,71.582497,70.157501,71.107498,70.560539,131154400
2020-04-16,71.845001,72.050003,70.587502,71.672501,71.121201,157125200
2020-04-17,71.172501,71.737503,69.214996,70.699997,70.156174,215250000
2020-04-20,69.487503,70.419998,69.212502,69.232498,68.699974,130015200
2020-04-21,69.070000,69.312500,66.357498,67.092499,66.576424,180991600
2020-04-22,68.402496,69.474998,68.050003,69.025002,68.494064,117057200
2020-04-23,68.967499,70.437500,68.717499,68.757500,68.228622,124814400
2020-04-24,69.300003,70.752502,69.250000,70.742500,70.198349,126508800
2020-04-27,70.449997,71.135002,69.987503,70.792503,70.247971,117087600
2020-04-28,71.269997,71.457497,69.550003,69.644997,69.109299,112004800
2020-04-29,71.182503,72.417503,70.972504,71.932503,71.379196,137280800
2020-04-30,72.489998,73.632500,72.087502,73.449997,72.885025,183064000
2020-05-01,71.562500,74.750000,71.462502,72.267502,71.711632,240616800
2020-05-04,72.292503,73.422501,71.580002,73.290001,72.726265,133568000
2020-05-05,73.764999,75.250000,73.614998,74.389999,73.817802,147751200
2020-05-06,75.114998,75.809998,74.717499,75.157501,74.579391,142333600
2020-05-07,75.805000,76.292503,75.492500,75.934998,75.350914,115215200
2020-05-08,76.410004,77.587502,76.072502,77.532501,77.144394,134048000
2020-05-11,77.025002,79.262497,76.809998,78.752502,78.358284,145946400
2020-05-12,79.457497,79.922501,77.727501,77.852501,77.462791,162301200
2020-05-13,78.037498,78.987503,75.802498,76.912498,76.527496,200622400
2020-05-14,76.127502,77.447502,75.382500,77.385002,76.997635,158929200
2020-05-15,75.087502,76.974998,75.052498,76.927498,76.542412,166348400
2020-05-18,78.292503,79.125000,77.580002,78.739998,78.345848,135372400
2020-05-19,78.757500,79.629997,78.252502,78.285004,77.893127,101729600
2020-05-20,79.169998,79.879997,79.129997,79.807503,79.408005,111504800
2020-05-21,79.665001,80.222504,78.967499,79.212502,78.815979,102688800
2020-05-22,78.942497,79.807503,78.837502,79.722504,79.323433,81803200
2020-05-26,80.875000,81.059998,79.125000,79.182503,78.786133,125522000
2020-05-27,79.035004,79.677498,78.272499,79.527496,79.129402,112945200
2020-05-28,79.192497,80.860001,78.907501,79.562500,79.164230,133560800
2020-05-29,79.812500,80.287498,79.117500,79.485001,79.087120,153598000
2020-06-01,79.437500,80.587502,79.302498,80.462502,80.059723,80791200
2020-06-02,80.187500,80.860001,79.732498,80.834999,80.430351,87642800
2020-06-03,81.165001,81.550003,80.574997,81.279999,80.873131,104491200
2020-06-04,81.097504,81.404999,80.195000,80.580002,80.176636,87560400
2020-06-05,80.837502,82.937500,80.807503,82.875000,82.460152,137250400
2020-06-08,82.562500,83.400002,81.830002,83.364998,82.947685,95654400
2020-06-09,83.035004,86.402496,83.002502,85.997498,85.567009,147712400
2020-06-10,86.974998,88.692497,86.522499,88.209999,87.768440,166651600
2020-06-11,87.327499,87.764999,83.870003,83.974998,83.554642,201662400
2020-06-12,86.180000,86.949997,83.555000,84.699997,84.276009,200146000
2020-06-15,83.312500,86.419998,83.144997,85.747498,85.318260,138808800
2020-06-16,87.864998,88.300003,86.180000,88.019997,87.579391,165428800
2020-06-17,88.787498,88.849998,87.772499,87.897499,87.457504,114406400
2020-06-18,87.852501,88.362503,87.305000,87.932503,87.492332,96820400
2020-06-19,88.660004,89.139999,86.287498,87.430000,86.992348,264476000
2020-06-22,87.834999,89.864998,87.787498,89.717499,89.268394,135445200
2020-06-23,91.000000,93.095001,90.567497,91.632500,91.173805,212155600
2020-06-24,91.250000,92.197502,89.629997,90.014999,89.564407,192623200
2020-06-25,90.175003,91.250000,89.392502,91.209999,90.753426,137522400
2020-06-26,91.102501,91.330002,88.254997,88.407501,87.964951,205256800
2020-06-29,88.312500,90.542503,87.820000,90.445000,89.992256,130646000
2020-06-30,90.019997,91.495003,90.000000,91.199997,90.743469,140223200
2020-07-01,91.279999,91.839996,90.977501,91.027496,90.571838,110737200
2020-07-02,91.962502,92.617500,90.910004,91.027496,90.571838,114041600
2020-07-06,92.500000,93.945000,92.467499,93.462502,92.994652,118655600
2020-07-07,93.852501,94.654999,93.057503,93.172501,92.706093,112424400
2020-07-08,94.180000,95.375000,94.089996,95.342499,94.865234,117092000
2020-07-09,96.262497,96.317497,94.672501,95.752502,95.273193,125642800
